playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,deathDate,birthDate
simsdu01,1941,6,5,USA,UT,Salt Lake City,NA,NA,NA,NA,NA,NA,Duke,Sims,Duane B.,197,74,L,R,1964-09-22,1974-09-26,simsd101,simsdu01,NA,1941-06-05
hollojo01,1996,6,13,USA,CO,Arvada,NA,NA,NA,NA,NA,NA,Jordan,Holloway,Jordan Lee,230,78,R,R,2020-07-26,2021-07-28,hollj002,hollojo01,NA,1996-06-13
culmewi01,1957,11,11,Bahamas,New Providence,Nassau,2003,10,14,Bahamas,New Providence,Nassau,Wil,Culmer,Wilfred Hillard,210,76,R,R,1983-04-12,1983-05-01,culmw101,culmewi01,2003-10-14,1957-11-11
petityu01,1984,11,22,Venezuela,Zulia,Maracaibo,NA,NA,NA,NA,NA,NA,Yusmeiro,Petit,Yusmeiro Alberto,252,73,R,R,2006-05-14,2021-10-01,petiy001,petityu01,NA,1984-11-22
schulfr02,1901,1,13,USA,IL,Belvidere,1983,5,20,USA,IL,Belvidere,Fred,Schulte,Fred William,183,73,R,R,1927-04-15,1937-10-03,schuf101,schulfr02,1983-05-20,1901-01-13
ladenty01,1988,3,7,USA,IL,Park Ridge,NA,NA,NA,NA,NA,NA,Tyler,Ladendorf,Tyler James,195,71,R,R,2015-04-08,2021-10-02,ladet001,ladenty01,NA,1988-03-07
torreca01,1982,10,22,USA,CA,Santa Cruz,NA,NA,NA,NA,NA,NA,Carlos,Torres,Carlos Ephriam,180,73,R,R,2009-07-22,2019-06-16,torrc001,torreca01,NA,1982-10-22
milnebr01,1959,11,17,USA,TX,Fort Worth,NA,NA,NA,NA,NA,NA,Brian,Milner,Brian Tate,200,74,R,R,1978-06-23,1978-06-26,milnb101,milnebr01,NA,1959-11-17
tracyma01,1988,11,26,USA,MO,St. Louis,NA,NA,NA,NA,NA,NA,Matt,Tracy,Matthew J.,215,75,L,L,2015-04-11,2015-04-11,tracm001,tracyma01,NA,1988-11-26
deckefr01,1857,2,26,USA,MO,St. Louis,1940,2,5,USA,MO,St. Louis,Frank,Decker,Frank,NA,NA,R,R,1879-06-25,1882-08-24,deckf101,deckefr01,1940-02-05,1857-02-26
