playerID yearID stint teamID lgID G AB R H X2B X3B HR RBI SB CS BB SO IBB HBP SH SF GIDP
sampsad01 2016 1 SEA AL 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
murphco01 1890 1 BRP PL 23 69 11 15 2 0 0 7 1 NA 5 7 NA 1 NA NA NA
taverfr01 1974 1 PIT NL 126 333 33 82 4 2 0 26 13 4 25 41 2 2 4 3 7
jacksal01 1968 1 NYN NL 27 28 2 7 1 0 0 2 0 0 0 9 0 0 1 1 1
narvech01 2012 1 MIL NL 2 3 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
riccefr01 1978 1 HOU NL 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ollomji01 1967 1 MIN AL 21 5 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
carmofa01 2007 1 CLE AL 32 4 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0
campbbi02 1978 1 BOS AL 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
kelleha02 1935 1 PHI NL 3 8 1 3 0 0 0 0 0 NA 1 1 NA 0 0 NA 1
hatchbi01 1984 1 CHN NL 8 9 1 1 0 0 0 0 2 0 1 0 1 0 0 0 0
hahndo01 1975 2 SLN NL 7 8 3 1 0 0 0 0 0 0 1 1 0 0 0 0 1
hilldo01 1990 1 CAL AL 103 352 36 93 18 2 3 32 1 2 29 27 1 1 6 4 10
davisch01 1983 1 SFN NL 137 486 54 113 21 2 11 59 10 12 55 108 6 0 3 9 9
garvest01 1970 1 LAN NL 34 93 8 25 5 0 1 6 1 1 6 17 0 0 0 1 3
delanbi02 1932 1 SLN NL 8 26 1 5 0 2 0 2 0 NA 2 1 NA 0 0 NA NA
beckbo01 1928 1 SLA AL 16 14 0 6 0 0 0 1 0 0 0 3 NA 0 0 NA NA
brunter01 2007 1 HOU NL 80 138 16 34 5 0 0 14 6 3 20 27 1 1 6 0 1
malonle01 1917 1 BRO NL 1 0 1 0 0 0 0 0 0 NA 0 0 NA 0 0 NA NA
rodrini01 2020 1 HOU AL 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
kellech01 1945 1 NYA AL 44 163 26 49 7 4 10 34 0 2 31 21 NA 0 0 NA 2
bonifem01 2010 1 FLO NL 73 180 30 47 6 3 0 10 12 0 17 42 0 0 1 3 1
lopezja01 2006 2 BOS AL 18 63 6 12 5 0 0 4 0 0 2 16 0 0 0 0 5
meredcl01 2007 1 SDN NL 80 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
pressto01 1938 1 BRO NL 43 63 5 9 1 0 0 4 0 NA 6 10 NA 0 1 NA 0
schalra01 1921 1 CHA AL 128 416 32 105 24 4 0 47 3 4 40 36 NA 7 9 NA NA
tietjle01 1935 1 CHA AL 30 61 4 12 3 0 0 3 0 0 3 17 NA 0 3 NA NA
severha01 1923 1 SLA AL 122 432 50 133 27 6 3 51 3 0 31 11 NA 1 16 NA NA
hallied01 1912 1 SLA AL 29 86 11 19 2 0 0 1 3 NA 5 NA NA 1 4 NA NA
macheda01 1979 1 DET AL 19 26 8 5 1 0 0 2 0 3 3 2 0 0 1 0 0
